strain	location	time
3433	1	0.5233910460872924
299	1	0.6628385229434288
2897	1	0.5518702529170295
2125	1	0.5918471605761932
2739	1	0.5602728000673955
4147	0	0.46546774548166114
4646	1	0.40018986008040053
4413	1	0.434514252950131
1978	1	0.5987178106737979
114	1	0.6675864800921829
776	1	0.6493351986206713
4165	1	0.464201912501459
1830	1	0.6060833141168636
4116	1	0.46898305149551733
3382	1	0.5266203136954785
3511	1	0.5184142963500707
990	1	0.6414444127958473
3320	1	0.5305556218781194
2599	1	0.5674101111910985
2383	1	0.578299117668179
1959	1	0.5995984529074432
2339	1	0.58120214664001
2511	1	0.5716299723158218
170	1	0.6664472283003323
1601	1	0.6167306681289895
2780	1	0.5580471522903474
1162	1	0.6352368619277324
2577	1	0.5687784375064326
4462	1	0.42837743941487727
4295	1	0.448669953828284
2559	1	0.5694503508649787
4037	1	0.47603894398009533
3542	1	0.5163759054591892
2670	1	0.5639909920848875
3374	1	0.5269837209910038
991	1	0.6414332634377872
2935	1	0.5505674697994892
152	1	0.6668003729046931
2824	1	0.5555368826803584
1718	1	0.6115318086802107
2119	1	0.5920518251559269
1993	1	0.598201301571233
2076	1	0.5939028023850785
819	1	0.6476412041378947
1637	1	0.6149024289352433
294	1	0.6629649469956869
1626	1	0.6157052638555639
767	1	0.6494777694180143
1496	1	0.6212503922579279
845	1	0.6466325591618165
1411	1	0.6246930925780936
3782	1	0.49756551457605364
345	1	0.661478791764151
2187	0	0.5888265326157711
4450	1	0.4304154601504974
1817	1	0.6064920453308273
4436	1	0.4319965846342379
4213	1	0.45880513546486146
3742	1	0.5012966508380223
3356	0	0.5281728172663228
617	0	0.654241116046868
3042	1	0.5458764024818392
1475	1	0.6217866880512134
651	1	0.6530271875042777
986	1	0.6416195860744459
2535	1	0.5705816697179943
976	1	0.642127719204574
1894	1	0.6030000069127592
3686	1	0.5062489860523329
2814	1	0.5562089098373728
3070	1	0.5446426819155202
1923	1	0.6014845481490545
2695	1	0.5623870586675775
3765	1	0.4991492828870779
277	0	0.6633319922057512
3482	1	0.5205950498951317
4310	1	0.44662871331563425
4919	1	0.3085063602315363
4857	1	0.34496252067824096
4775	1	0.3714265902427588
4329	1	0.4442859233008454
4110	1	0.4695395226093172
3396	1	0.5257701038039603
721	1	0.6509976169288327
3264	1	0.5337130677593185
2161	1	0.5901840772892669
2479	1	0.5734814654170277
341	1	0.6615793906454386
1655	1	0.6141806499554284
460	1	0.6584154099412862
822	1	0.647585449325373
4058	1	0.4743482192853129
4313	1	0.446306458865917
2841	1	0.5545405098277396
3634	1	0.510302715540161
2164	1	0.5901582842292372
1624	1	0.6157247131791282
2121	1	0.5919895226042096
17	1	0.6701524910492954
511	1	0.656985498085499
2973	1	0.5490466290846369
2826	1	0.5554178512262959
1383	1	0.6257165477614222
2100	0	0.5928009579734019
542	0	0.6560477318816607
1263	1	0.6311022657850511
2851	1	0.5542415351166142
4742	1	0.379807264607861
4343	1	0.44299756235802346
3629	1	0.5105228399070558
1040	1	0.6395587460808378
2484	1	0.5731576234104303
3716	0	0.5034231688928894
1594	1	0.6171436707711099
3612	0	0.5116724944615132
937	0	0.6434159097047997
3265	0	0.5336784126988942
2289	0	0.5838584932946559
2532	0	0.5707970791656998
1965	0	0.5994466680713729
694	1	0.6516144755462044
1711	1	0.6118689704473425
1301	1	0.6292826807069843
1514	1	0.6203563723775144
2340	0	0.5811397727058579
1731	0	0.6109336316763816
2156	0	0.590383012570524
4561	1	0.41498295861490786
4829	1	0.35521591724751783
3638	1	0.5099969572339972
2011	1	0.5973595690578193
3239	1	0.5352248110162643
2219	1	0.5866476586267863
2819	1	0.5557929702331879
489	1	0.6575912687699532
2107	1	0.5924979136297274
4779	1	0.3704927805021254
4637	1	0.4017595291428542
4710	1	0.38702450697747093
4372	1	0.4392202323190719
4040	0	0.4756760536275677
3676	0	0.5069577668423599
2048	0	0.5952959420380483
2536	1	0.5705699794590533
3884	0	0.48939152079811066
3538	1	0.5165722035966464
3756	0	0.5001275137032932
4061	1	0.47411848176396404
2818	1	0.5559221286591762
4024	1	0.4771239256604548
748	0	0.6500330751583032
4016	1	0.4779422162790201
3521	1	0.517851370511812
301	0	0.6627746792917115
2942	1	0.5502929606070901
1787	1	0.6083349160216354
2787	1	0.5576768180259732
157	1	0.6666822669537741
970	1	0.6424274704189263
595	1	0.6545534337404342
903	1	0.6444856813313596
3994	1	0.4800839665749394
2482	1	0.5732389302503439
1494	1	0.621291784908423
350	1	0.6613455720213434
1124	1	0.6363500732280252
1918	1	0.6017521266691049
1045	1	0.6392864629109204
1191	0	0.6340795281268131
3565	1	0.5143583559824841
1698	1	0.6121417233163544
500	1	0.6572511122565386
1629	1	0.6153642227155645
3304	1	0.5315693940403775
2685	1	0.5628074493478736
1904	1	0.6024710954856485
2419	1	0.5765952191763044
3111	1	0.5420752728041646
4593	1	0.4102698766037966
4348	1	0.44166892539177044
3752	1	0.5006995137160477
3883	1	0.4894252666085954
2395	1	0.5776922697450049
1766	1	0.6095908006116432
1957	1	0.5998497749355858
698	1	0.6514299163156207
1818	1	0.6064276581669039
756	1	0.6498133543199155
1205	1	0.6335705262809128
3802	1	0.49607254266695683
2251	0	0.5851865595462948
640	1	0.6533291139156842
867	1	0.6458570537090232
3761	1	0.49977652522627086
1740	0	0.6106447624507177
805	1	0.6479162954090901
1169	0	0.6348667720735216
3665	1	0.5076784493048545
4516	0	0.4218976663123662
4908	1	0.3181029892238971
4858	1	0.34474752209300863
4719	1	0.38463277175981997
4544	1	0.4180738445892072
4605	1	0.40799125091794697
3520	1	0.5179573033107704
4508	1	0.4228846621074602
4744	1	0.37845203095027624
4887	1	0.3315164969695144
3974	1	0.48155337822743677
4851	1	0.3487938029711641
4981	1	0.22341522005127593
4966	0	0.25189320975129303
4939	0	0.2877579776400531
4882	0	0.3348873335175009
4828	0	0.35524545155972626
4831	0	0.35448284521878565
4521	0	0.4210863041346649
3579	0	0.5136818339759062
2896	0	0.5519491209455472
3419	0	0.5243379641621584
1877	0	0.6037355534902755
2553	0	0.5696371983472799
558	0	0.6554972146249439
2368	0	0.5788859556908852
3873	0	0.4912363966255814
4649	0	0.4001082069778225
895	0	0.6446793790846806
4540	0	0.4188994012114152
4438	0	0.43189650207044344
4296	0	0.44856159943750745
4071	0	0.47355421248822127
3725	0	0.5022456002347467
2099	0	0.5929690778873539
3365	0	0.5273742393110387
3165	0	0.5392108350985786
3232	0	0.5356105103310267
502	0	0.6572431701165111
1694	0	0.6123753792946013
126	0	0.6672959035071427
926	1	0.643682281401114
3859	0	0.491790694988889
3653	0	0.5085666624420995
413	1	0.6594132378650935
719	1	0.6510136763746434
