Node	Time	Old_population	New_population
897	0.5847461717680345	133	74
1305	0.5846908348765867	152	133
461	0.5843474725803551	24	6
180	0.5842285552649915	79	195
322	0.5838867403748362	83	86
141	0.5837160822830221	62	195
1094	0.5834242887182252	133	195
873	0.5831989585271717	133	195
265	0.5830682974139804	62	160
639	0.5829211901291874	9	83
74	0.5824863862167884	152	195
1407	0.5822364472525076	41	24
1497	0.5821105246400496	0	172
895	0.5818614640474076	37	62
414	0.581830353927241	195	101
1404	0.5817460022593849	24	34
1429	0.5816925274342367	46	86
910	0.5815912099240489	46	17
743	0.5814965899140226	151	0
601	0.5813688583114768	0	57
843	0.5812433293936707	183	124
847	0.5812261102891654	195	79
1422	0.5810411142879285	6	36
528	0.5809828341774819	79	195
1438	0.5808861006273023	58	38
499	0.5808836618095496	150	101
622	0.5806944824798245	24	147
972	0.5805734386323849	138	67
60	0.5804181338246691	160	138
1491	0.5803411515992354	81	133
282	0.5803051256562942	195	115
1317	0.5800908246300959	86	54
1557	0.5800138853276835	24	6
1525	0.5797866359390821	195	133
1566	0.5794976762068226	84	160
1081	0.5793984971499763	14	0
1486	0.5787290874470664	199	195
331	0.5786661442331815	6	0
1047	0.5782899880864768	160	86
323	0.5781993325381896	160	45
305	0.5781852807510072	86	140
40	0.5781363152039839	134	83
974	0.5779324776047892	138	137
825	0.5778640645789349	46	166
1313	0.5778455274693242	195	199
427	0.5774986297082099	133	199
1573	0.5773647617677738	30	195
466	0.5772544381464813	56	90
1492	0.5770367620899867	57	151
1276	0.576870191839921	147	24
1483	0.5760980162605275	133	195
1254	0.5754211853315712	8	54
659	0.5753517336954354	152	0
387	0.5753143164173563	56	24
674	0.5752673400603446	84	86
840	0.5752233749345648	117	189
1552	0.5752106651369893	86	151
1066	0.5751913547123939	183	0
22	0.5751766260827887	24	123
1408	0.575075743008182	171	154
35	0.5745257368930804	195	0
1461	0.5742888364372404	151	86
549	0.5740603673146507	31	206
584	0.5737579363945363	24	115
1370	0.5736103602686067	151	94
1482	0.5734926557081733	162	0
1543	0.5733685360288684	195	79
184	0.5728047452074909	24	62
751	0.5725078238857869	194	0
223	0.572439852801801	93	150
1243	0.572116410517499	181	57
1236	0.5720972601641777	39	195
996	0.5720296007475089	133	0
1578	0.5719301552597669	5	6
1374	0.5716729985598915	91	189
1412	0.571315433641231	24	195
1097	0.5712836196481423	41	195
130	0.5710520091683585	62	64
1037	0.5707741885988541	81	40
1288	0.570622433275896	56	86
635	0.5702242217871707	91	195
1630	0.5701176263526597	0	86
1507	0.569941114727811	183	101
1510	0.5695893796974056	79	133
678	0.5693263660248835	46	104
128	0.5687986259136197	0	38
54	0.5687802549631655	206	138
1190	0.568705905201022	17	56
1602	0.5683278260342642	150	93
1642	0.5683007230381738	0	14
1570	0.5682638996602479	137	138
1537	0.5682079054227308	24	133
1171	0.567521461723956	79	195
42	0.5668902404986275	199	39
976	0.5664083355699278	133	195
1446	0.5661888889824953	138	35
638	0.5657153975907899	134	86
95	0.5651875128600693	86	0
1193	0.5647951250620911	152	64
1610	0.5644530081716953	83	86
